Module                  Size  Used by
mtd                   106496  3 spi_nor,cmdlinepart
mei                   167936  5 mei_hdcp,mei_pxp,mei_me
ee1004                 16384  0
soundcore              16384  1 snd
intel_vsec             20480  0
mac_hid                12288  0
acpi_tad               20480  0
acpi_pad              184320  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                77824  3 parport_pc,lp,ppdev
efi_pstore             12288  0
ip_tables              36864  0
x_tables               69632  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_CHECKSUM,ipt_REJECT,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
hid_generic            12288  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
hid                   180224  4 usbhid,hid_generic,hid_logitech_dj,hid_logitech_hidpp
amdgpu              15589376  43
amdxcp                 12288  1 amdgpu
iommu_v2               24576  1 amdgpu
drm_buddy              20480  1 amdgpu
gpu_sched              61440  1 amdgpu
i2c_algo_bit           16384  1 amdgpu
drm_suballoc_helper    16384  1 amdgpu
drm_ttm_helper         12288  1 amdgpu
ttm                   110592  2 amdgpu,drm_ttm_helper
drm_display_helper    241664  1 amdgpu
cec                    94208  1 drm_display_helper
rc_core                77824  1 cec
drm_kms_helper        274432  3 drm_display_helper,amdgpu
mfd_aaeon              12288  0
asus_wmi               73728  2 eeepc_wmi,mfd_aaeon
ledtrig_audio          12288  2 snd_hda_codec_generic,asus_wmi
sparse_keymap          12288  1 asus_wmi
nvme                   57344  2
platform_profile       12288  1 asus_wmi
crc32_pclmul           12288  0
drm                   765952  23 gpu_sched,drm_kms_helper,drm_suballoc_helper,drm_display_helper,drm_buddy,amdgpu,drm_ttm_helper,ttm,amdxcp
r8169                 114688  0
spi_intel_pci          12288  0
i2c_i801               36864  0
ahci                   49152  0
intel_lpss_pci         24576  0
spi_intel              32768  1 spi_intel_pci
nvme_core             212992  3 nvme
i2c_smbus              16384  1 i2c_i801
realtek                36864  1
intel_lpss             16384  1 intel_lpss_pci
xhci_pci               24576  0
libahci                57344  1 ahci
vmd                    24576  0
idma64                 20480  0
nvme_common            28672  1 nvme_core
xhci_pci_renesas       20480  1 xhci_pci
video                  73728  2 asus_wmi,amdgpu
wmi                    40960  4 video,asus_wmi,wmi_bmof,mfd_aaeon
pinctrl_alderlake      32768  0
